,ts_code,symbol,name,area,industry,list_date
0,000001.SZ,000001,平安银行,深圳,银行,19910403
1,000002.SZ,000002,万科A,深圳,全国地产,19910129
2,000004.SZ,000004,国华网安,深圳,互联网,19910114
3,000005.SZ,000005,世纪星源,深圳,环境保护,19901210
4,000006.SZ,000006,深振业A,深圳,区域地产,19920427
5,000007.SZ,000007,全新好,深圳,酒店餐饮,19920413
6,000008.SZ,000008,神州高铁,北京,运输设备,19920507
7,000009.SZ,000009,中国宝安,深圳,综合类,19910625
8,000010.SZ,000010,美丽生态,深圳,建筑工程,19951027
9,000011.SZ,000011,深物业A,深圳,区域地产,19920330
10,000012.SZ,000012,南玻A,深圳,玻璃,19920228
11,000014.SZ,000014,沙河股份,深圳,全国地产,19920602
12,000016.SZ,000016,深康佳A,深圳,家用电器,19920327
13,000017.SZ,000017,*ST中华A,深圳,文教休闲,19920331
14,000019.SZ,000019,深粮控股,深圳,其他商业,19921012
15,000020.SZ,000020,深华发A,深圳,元器件,19920428
16,000021.SZ,000021,深科技,深圳,IT设备,19940202
17,000023.SZ,000023,深天地A,深圳,其他建材,19930429
18,000025.SZ,000025,特力A,深圳,汽车服务,19930621
19,000026.SZ,000026,飞亚达,深圳,其他商业,19930603
20,000027.SZ,000027,深圳能源,深圳,火力发电,19930903
21,000028.SZ,000028,国药一致,深圳,医药商业,19930809
22,000029.SZ,000029,深深房A,深圳,区域地产,19930915
23,000030.SZ,000030,富奥股份,吉林,汽车配件,19930929
24,000031.SZ,000031,大悦城,深圳,全国地产,19931008
25,000032.SZ,000032,深桑达A,深圳,元器件,19931028
26,000034.SZ,000034,神州数码,深圳,综合类,19940509
27,000035.SZ,000035,中国天楹,江苏,环境保护,19940408
28,000036.SZ,000036,华联控股,深圳,全国地产,19940617
29,000037.SZ,000037,深南电A,深圳,火力发电,19940701
30,000038.SZ,000038,深大通,深圳,广告包装,19940808
31,000039.SZ,000039,中集集团,深圳,轻工机械,19940408
32,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808
33,000042.SZ,000042,中洲控股,深圳,全国地产,19940921
34,000045.SZ,000045,深纺织A,深圳,元器件,19940815
35,000046.SZ,000046,泛海控股,北京,多元金融,19940912
36,000048.SZ,000048,京基智农,深圳,饲料,19941101
